Time               ;q [%] ;p_Low [bar];p_High [bar];T_Env [C] ;T_Water [C];Comp_1_Ready;Comp_2_Ready;EmergencyOff;DelayedOn;ShutOff-Valve;Water Pump ;Mixing Valve Open;Compressor 1   ;Compressor 2   ;Fan Speed
2019-08-29 19:10:18; 53.25;  2.36     ;  8.16      ;      29.8;      32.5 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:19; 53.38;  2.24     ;  8.19      ;      29.9;      32.5 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:20; 53.25;  2.19     ;  7.97      ;      29.8;      32.3 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:21; 53.38;  2.28     ;  7.94      ;      30.1;      32.3 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:22; 53.25;  2.19     ;  8.06      ;      29.9;      32.5 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:23; 53.63;  2.18     ;  7.94      ;      30.3;      32.8 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:24; 53.63;  2.15     ;  7.84      ;      30.1;      32.7 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:25; 52.63;  2.19     ;  7.81      ;      30.1;      32.7 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:26; 53.63;  2.26     ;  7.84      ;      30.3;      33.0 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:27; 53.75;  2.21     ;  7.88      ;      30.3;      32.8 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:28; 53.25;  2.14     ;  7.94      ;      30.5;      33.0 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:29; 53.63;  2.19     ;  7.97      ;      30.1;      32.8 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:31; 53.75;  2.28     ;  8.03      ;      30.5;      33.0 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:32; 53.63;  2.26     ;  8.06      ;      30.6;      33.0 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:33; 53.63;  2.25     ;  8.06      ;      30.1;      32.5 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:34; 53.63;  2.33     ;  8.19      ;      30.3;      32.8 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:35; 53.63;  2.25     ;  8.16      ;      30.5;      32.7 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:36; 53.63;  2.34     ;  8.22      ;      30.1;      32.7 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:37; 53.63;  2.29     ;  8.22      ;      30.3;      32.8 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:38; 53.63;  2.29     ;  8.38      ;      30.3;      33.0 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:39; 53.63;  2.30     ;  8.41      ;      30.5;      33.0 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:40; 53.63;  2.26     ;  8.56      ;      30.1;      32.7 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:41; 53.63;  2.34     ;  8.59      ;      30.3;      32.8 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:42; 53.63;  2.25     ;  8.75      ;      30.1;      32.8 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:43; 53.63;  2.31     ;  8.78      ;      30.3;      32.8 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:44; 53.63;  2.33     ;  8.91      ;      30.3;      32.7 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:45; 53.63;  2.28     ;  9.00      ;      30.1;      32.8 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:46; 53.75;  2.29     ;  9.09      ;      30.5;      33.0 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:10:47; 53.25;  2.41     ;  9.03      ;      30.1;      32.5 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:49; 53.25;  2.39     ;  9.13      ;      29.9;      32.5 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:50; 53.25;  2.29     ;  9.13      ;      29.9;      32.5 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:51; 53.25;  2.27     ;  8.88      ;      29.9;      33.0 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:52; 53.25;  2.25     ;  9.03      ;      30.1;      32.8 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:53; 53.38;  2.31     ;  8.78      ;      30.3;      32.5 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:54; 53.13;  2.35     ;  8.59      ;      29.8;      32.3 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:55; 53.38;  2.18     ;  8.50      ;      29.9;      32.5 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:56; 52.38;  2.32     ;  8.50      ;      30.5;      32.7 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:57; 53.25;  2.18     ;  8.56      ;      30.3;      32.7 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:58; 53.25;  2.29     ;  8.47      ;      29.9;      32.5 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:10:59; 53.25;  2.17     ;  8.16      ;      30.1;      32.8 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:11:00; 53.38;  2.28     ;  8.06      ;      29.9;      32.7 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:11:01; 53.25;  2.28     ;  8.00      ;      29.8;      32.8 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:11:02; 53.00;  2.32     ;  8.13      ;      30.3;      32.5 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:11:03; 52.88;  2.29     ;  8.06      ;      30.1;      32.5 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          1
2019-08-29 19:11:04; 53.50;  2.26     ;  8.03      ;      30.5;      32.8 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:11:06; 53.50;  2.20     ;  7.94      ;      30.1;      32.7 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:11:07; 53.63;  2.25     ;  7.94      ;      30.3;      32.8 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:11:08; 53.50;  2.23     ;  7.91      ;      30.6;      33.0 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:11:09; 53.63;  2.18     ;  7.94      ;      30.5;      32.8 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:11:10; 53.63;  2.20     ;  8.03      ;      30.5;      33.0 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:11:11; 53.63;  2.27     ;  8.00      ;      30.6;      32.8 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:11:12; 53.63;  2.21     ;  8.13      ;      30.5;      32.8 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:11:13; 53.63;  2.26     ;  8.13      ;      30.3;      32.8 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:11:14; 53.63;  2.28     ;  8.16      ;      30.6;      33.0 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:11:15; 53.63;  2.24     ;  8.25      ;      30.5;      33.0 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
2019-08-29 19:11:16; 53.50;  2.33     ;  8.22      ;      30.5;      32.8 ;        True;        True;       False;     True;        Opend;         On;              0.0;     100.0  On;       0.0  Off;          0
